14456,51320,0
14345,51209,0
14270,51134,0
14278,51142,0
14435,51299,0
14372,51236,0
14461,51325,0
14346,51210,0
14307,51171,0
14413,51277,0
14294,51158,0
14397,51261,0
14288,51152,0
14395,51259,0
14301,51165,0
14410,51274,0
14380,51244,0
14235,51099,0
14489,51353,0
14369,51233,0
14203,51067,0
14166,51030,0
14321,51185,0
14356,51220,0
14344,51208,0
14233,51097,0
14419,51283,0
14512,51376,0
14166,51030,0
14412,51276,0
14411,51275,0
14289,51153,0
14408,51272,0
14275,51139,0
14189,51053,0
14310,51174,0
14478,51342,0
14293,51157,0
14317,51181,0
14163,51027,0
14266,51130,0
14372,51236,0
14171,51035,0
14178,51042,0
14386,51250,0
14288,51152,0
14255,51119,0
14199,51063,0
14273,51137,0
14148,51012,0
14397,51261,0
14278,51142,0
14363,51227,0
14487,51351,0
14280,51144,0
14510,51374,0
14358,51222,0
14330,51194,0
14467,51331,0
14496,51360,0
